Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Position,Shaq_present
334,Kobe Bryant,LAL,18,200.66,90.7184,None,USA,1996,1,13,71,7.6,1.9,1.3,2.2,0.048,0.084,0.244,0.544,0.144,1996-97,Guard,True
496,Kobe Bryant,LAL,19,200.66,95.25432,None,USA,1996,1,13,79,15.4,3.1,2.5,6.9,0.044,0.088,0.268,0.548,0.165,1997-98,Guard,True
1225,Kobe Bryant,LAL,20,200.66,97.52228,None,USA,1996,1,13,50,19.9,5.3,3.8,2.8,0.033,0.128,0.254,0.549,0.176,1998-99,Guard,True
1413,Kobe Bryant,LAL,21,200.66,95.25432,None,USA,1996,1,13,66,22.5,6.3,4.9,10.4,0.046,0.128,0.266,0.546,0.215,1999-00,Guard,True
1882,Kobe Bryant,LAL,22,200.66,95.25432,None,USA,1996,1,13,68,28.5,5.9,5.0,6.3,0.042,0.117,0.315,0.552,0.22,2000-01,Guard,True
2445,Kobe Bryant,LAL,23,200.66,95.25432,None,USA,1996,1,13,80,25.2,5.5,5.5,7.6,0.041,0.118,0.304,0.544,0.254,2001-02,Guard,True
2718,Kobe Bryant,LAL,24,200.66,97.52228,None,USA,1996,1,13,82,30.0,6.9,5.9,3.7,0.035,0.152,0.329,0.55,0.268,2002-03,Guard,True
3440,Kobe Bryant,LAL,25,198.12,99.79024,None,USA,1996,1,13,65,24.0,5.5,5.1,6.2,0.047,0.119,0.286,0.551,0.237,2003-04,Guard,True
3569,Kobe Bryant,LAL,26,198.12,99.79024,None,USA,1996,1,13,66,27.6,5.9,6.0,-2.2,0.04,0.125,0.316,0.563,0.287,2004-05,Guard,False
4163,Kobe Bryant,LAL,27,198.12,99.79024,None,USA,1996,1,13,80,35.4,5.3,4.5,4.7,0.026,0.127,0.384,0.559,0.228,2005-06,Guard,False
4817,Kobe Bryant,LAL,28,198.12,99.79024,None,USA,1996,1,13,77,31.6,5.7,5.4,0.6,0.028,0.132,0.333,0.58,0.249,2006-07,Guard,False
5201,Kobe Bryant,LAL,29,198.12,92.98636,None,USA,1996,1,13,82,28.3,6.3,5.4,8.5,0.034,0.141,0.312,0.576,0.236,2007-08,Guard,False
5420,Kobe Bryant,LAL,30,198.12,92.98636,None,USA,1996,1,13,82,26.8,5.2,4.9,10.8,0.035,0.127,0.322,0.561,0.232,2008-09,Guard,False
6144,Kobe Bryant,LAL,31,198.12,92.98636,None,USA,1996,1,13,73,27.0,5.4,5.0,8.5,0.032,0.122,0.323,0.545,0.23,2009-10,Guard,False
6297,Kobe Bryant,LAL,32,198.12,92.98636,None,USA,1996,1,13,82,25.3,5.1,4.7,7.7,0.035,0.135,0.35,0.548,0.258,2010-11,Guard,False
6763,Kobe Bryant,LAL,33,198.12,92.98636,None,USA,1996,1,13,58,27.9,5.4,4.6,3.1,0.035,0.117,0.354,0.527,0.237,2011-12,Guard,False
7576,Kobe Bryant,LAL,34,198.12,92.98636,None,USA,1996,1,13,78,27.3,5.6,6.0,2.7,0.025,0.131,0.317,0.57,0.286,2012-13,Guard,False
8021,Kobe Bryant,LAL,35,198.12,92.98636,None,USA,1996,1,13,6,13.8,4.3,6.3,-10.5,0.013,0.144,0.293,0.505,0.369,2013-14,Guard,False
8516,Kobe Bryant,LAL,36,198.12,96.161504,None,USA,1996,1,13,35,22.3,5.7,5.6,-12.2,0.022,0.166,0.343,0.477,0.3,2014-15,Guard,False
8961,Kobe Bryant,LAL,37,198.12,96.161504,None,USA,1996,1,13,66,17.6,3.7,2.8,-15.8,0.023,0.123,0.319,0.469,0.183,2015-16,Guard,False
