Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
1626,A.C. Green,LAL,36,205.74,102.0582,Oregon State,USA,1985,1,23,82,5.0,5.9,1.0,8.1,0.089,0.179,0.111,0.482,0.058,2000-01
1924,Brian Shaw,LAL,35,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,80,5.3,3.8,3.2,2.2,0.03,0.158,0.131,0.479,0.206,2000-01
1709,Derek Fisher,LAL,25,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,78,6.3,1.8,2.8,13.4,0.013,0.07,0.153,0.449,0.176,2000-01
2006,Devean George,LAL,23,203.2,99.79024,Augsburg,USA,1999,1,23,59,3.1,1.9,0.3,-6.0,0.065,0.145,0.201,0.394,0.055,2000-01
1658,Glen Rice,LAL,33,203.2,99.79024,Michigan,USA,1989,1,4,80,15.9,4.1,2.2,7.9,0.024,0.114,0.221,0.551,0.11,2000-01
1796,Greg Foster,LAL,32,210.82,113.398,Texas-El Paso,USA,1990,2,35,62,2.0,1.8,0.5,-11.2,0.071,0.22,0.171,0.449,0.125,2000-01
1830,Horace Grant,LAL,35,208.28,111.13004,Clemson,USA,1987,1,10,77,8.5,7.1,1.6,7.1,0.106,0.149,0.13,0.511,0.073,2000-01
1832,Isaiah Rider,LAL,30,195.58,97.52228,Nevada-Las Vegas,USA,1993,1,5,67,7.6,2.3,1.7,0.0,0.041,0.107,0.226,0.499,0.155,2000-01
1385,John Celestand,LAL,23,193.04,80.739376,Villanova,USA,1999,2,30,16,2.3,0.7,1.3,-3.1,0.006,0.056,0.148,0.388,0.165,2000-01
1387,John Salley,LAL,36,210.82,115.66596,Georgia Tech,USA,1986,1,11,45,1.6,1.4,0.6,0.7,0.068,0.156,0.148,0.437,0.146,2000-01
1882,Kobe Bryant,LAL,22,200.66,95.25432,None,USA,1996,1,13,68,28.5,5.9,5.0,6.3,0.042,0.117,0.315,0.552,0.22,2000-01
1853,Mark Madsen,LAL,25,205.74,108.86208,Stanford,USA,2000,1,29,70,2.0,2.2,0.3,-5.1,0.127,0.137,0.108,0.53,0.06,2000-01
1870,Mike Penberthy,LAL,26,190.5,81.64656,Master's,USA,Undrafted,Undrafted,Undrafted,53,5.0,1.2,1.3,-0.6,0.013,0.067,0.141,0.567,0.129,2000-01
1496,Rick Fox,LAL,30,200.66,109.769264,North Carolina,Canada,1991,1,24,82,6.5,2.4,1.7,8.3,0.046,0.098,0.183,0.502,0.144,2000-01
2141,Robert Horry,LAL,30,208.28,106.59412,Alabama,USA,1992,1,11,79,5.2,3.7,1.6,2.1,0.068,0.149,0.141,0.489,0.124,2000-01
1548,Ron Harper,LAL,36,198.12,97.52228,Miami (OH),USA,1986,1,8,80,7.0,4.2,3.4,7.6,0.051,0.128,0.157,0.468,0.189,2000-01
1523,Shaquille O'Neal,LAL,28,215.9,142.88148,Louisiana State,USA,1992,1,1,79,29.7,13.6,3.8,11.0,0.116,0.246,0.313,0.578,0.184,2000-01
2138,Slava Medvedenko,LAL,22,208.28,113.398,None,Ukraine,Undrafted,Undrafted,Undrafted,7,4.6,1.3,0.3,3.3,0.026,0.16,0.337,0.528,0.087,2000-01
1483,Travis Knight,LAL,25,213.36,106.59412,Connecticut,USA,1996,1,29,63,1.7,2.0,0.4,3.7,0.124,0.22,0.167,0.418,0.092,2000-01
2128,Tyronn Lue,LAL,24,182.88,80.739376,Nebraska,USA,1998,1,23,38,3.4,0.8,1.2,-5.2,0.012,0.066,0.148,0.51,0.157,2000-01
