Player	Position	Games	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Frank Kaminsky	Center	75.0	8.0	9.5	13.5	39.900000000000006
Brook Lopez	Center	75.0	12.1	9.6	14.8	47.4
Joffrey Lauvergne	Center	20.0	14.0	15.2	12.2	40.2
Justin Hamilton	Center	64.0	9.7	11.8	7.3	45.9
Thon Maker	Center	57.0	7.7	11.8	6.2	45.9
Channing Frye	Center	74.0	8.8	11.4	4.9	45.800000000000004
Chris Andersen	Center	12.0	15.1	15.0	5.9	40.9
A.J. Hammons	Center	22.0	16.4	12.8	3.8	40.5
Stephen Zimmerman	Center	19.0	8.3	17.6	5.3	32.300000000000004
Anderson Varejao	Center	14.0	29.8	16.1	13.0	35.699999999999996
Mike Conley	PointGuard	69.0	11.8	6.0	34.5	46.0
Ramon Sessions	PointGuard	50.0	12.7	4.9	24.2	38.0
Damian Lillard	PointGuard	75.0	10.2	7.6	28.7	44.4
Jose Calderon	PointGuard	82.0	22.46666666666667	7.5	23.2	41.0
Jrue Holiday	PointGuard	67.0	16.7	6.4	35.9	45.300000000000004
George Hill	PointGuard	49.0	10.9	6.2	22.6	47.699999999999996
Darren Collison	PointGuard	68.0	12.6	4.3	24.5	47.599999999999994
Jameer Nelson	PointGuard	75.0	17.0	5.2	26.0	44.4
D'Angelo Russell	PointGuard	63.0	15.6	6.7	26.8	40.5
Toney Douglas	PointGuard	24.0	13.9	8.9	22.2	36.8
Chris Paul	PointGuard	61.0	14.0	8.8	46.8	47.599999999999994
Stephen Curry	PointGuard	79.0	13.0	7.3	31.1	46.800000000000004
Rajon Rondo	PointGuard	69.0	22.4	10.4	37.0	40.8
James Harden	PointGuard	81.0	19.5	12.2	50.7	44.0
Kay Felder	PointGuard	42.0	14.7	5.9	22.7	39.2
Brandon Jennings	PointGuard	162.0	17.166666666666668	6.066666666666666	32.06666666666667	33.766666666666666
Jeff Teague	PointGuard	82.0	16.5	7.0	36.4	44.2
Tony Parker	PointGuard	63.0	12.5	4.0	27.8	46.6
Marcelo Huertas	PointGuard	23.0	20.1	5.5	30.8	36.8
Nicolas Laprovittola	PointGuard	18.0	27.2	3.3	23.0	42.6
Dejounte Murray	PointGuard	38.0	22.7	7.4	22.6	43.1
Yogi Ferrell	PointGuard	92.0	15.6	5.0	21.400000000000002	39.5
Reggie Jackson	PointGuard	52.0	13.4	4.3	30.3	41.9
Isaiah Thomas	PointGuard	76.0	10.7	4.4	32.6	46.300000000000004
Russell Westbrook	PointGuard	81.0	15.9	17.1	57.3	42.5
Aaron Brooks	PointGuard	65.0	17.2	4.3	20.7	40.300000000000004
Tyus Jones	PointGuard	60.0	16.0	5.0	28.0	41.4
Kyrie Irving	PointGuard	72.0	10.3	5.0	29.7	47.3
Patty Mills	PointGuard	80.0	13.3	4.6	24.3	43.9
Shelvin Mack	PointGuard	55.0	17.8	6.1	20.4	44.6
John Wall	PointGuard	78.0	16.2	6.5	46.9	45.1
T.J. McConnell	PointGuard	81.0	22.4	6.5	37.5	46.1
Kyle Lowry	PointGuard	60.0	13.8	7.3	29.9	46.400000000000006
Ty Lawson	PointGuard	69.0	17.3	6.0	30.0	45.4
Malcolm Delaney	PointGuard	73.0	18.1	5.5	23.1	37.4
Beno Udrih	PointGuard	39.0	14.9	5.6	35.4	46.7
Sergio Rodriguez	PointGuard	68.0	18.9	5.7	35.4	39.2
Tyler Ennis	PointGuard	106.0	18.633333333333333	4.466666666666666	22.166666666666668	42.5
Derrick Rose	PointGuard	64.0	11.9	6.4	22.8	47.099999999999994
Eric Bledsoe	PointGuard	66.0	15.3	8.0	31.1	43.4
Kemba Walker	PointGuard	79.0	9.5	6.2	29.1	44.4
Tyler Ulis	PointGuard	61.0	14.1	4.6	30.5	42.1
Quinn Cook	PointGuard	28.0	16.733333333333334	2.0666666666666664	23.066666666666666	49.23333333333333
Tim Frazier	PointGuard	65.0	18.0	6.0	31.4	40.300000000000004
Ish Smith	PointGuard	81.0	12.4	6.6	32.5	43.9
Wade Baldwin	PointGuard	33.0	23.4	6.5	22.8	31.3
Matthew Dellavedova	PointGuard	76.0	18.8	4.3	25.7	39.0
Trey Burke	PointGuard	57.0	15.2	3.8	20.7	45.5
Emmanuel Mudiay	PointGuard	55.0	16.5	7.0	21.8	37.7
Deron Williams	PointGuard	128.0	18.166666666666668	5.1	33.96666666666667	44.36666666666667
Dwyane Wade	ShootingGuard	60.0	11.3	8.2	22.4	43.4
Manu Ginobili	ShootingGuard	69.0	16.5	6.9	20.8	39.0
Jordan Crawford	ShootingGuard	19.0	9.8	4.1	22.7	48.199999999999996
Marcus Smart	ShootingGuard	79.0	15.6	7.1	22.0	35.9
Tim Quarterman	ShootingGuard	16.0	26.6	9.7	21.1	44.800000000000004
Malcolm Brogdon	ShootingGuard	75.0	14.1	6.3	24.3	45.7
Pat Connaughton	ShootingGuard	39.0	18.3	9.1	12.7	51.4
Dion Waiters	ShootingGuard	46.0	12.5	6.2	23.8	42.4
Lance Stephenson	ShootingGuard	36.0	16.975	8.2	22.95	45.199999999999996
David Nwaba	ShootingGuard	20.0	10.1	8.5	5.0	57.99999999999999
Nicolas Batum	ShootingGuard	77.0	15.0	10.1	27.6	40.300000000000004
